─────────────────────────────── Lead Collector ────────────────────────────────
Segments to collect: 8
Target per segment:  300 leads
  [ 55] overpass     Termoservice Matera SRL
  [ 56] overpass     Studio di Ingegneria - Dr. Ing. Sabato Schiavo
  [ 57] overpass     Libra Società di Ingegneria S.r.l.
  [ 58] overpass     C.a S.P. Valle del Brasimone
  [ 59] overpass     FGB Engineering
  [ 60] overpass     Ingegner Pirlo srl
  [ 61] overpass     Studio Tecnico Giulietti
  [ 62] overpass     ThermoHouse
  [ 63] overpass     Leadri
  [ 64] overpass     Effebi Construzioni Srl
  [ 65] overpass     Bergmeister GmbH
  [ 66] overpass     Bertuzzi Energy
  [ 67] overpass     Tramonte Andrea
  [ 68] overpass     Paolo Terrone
  [ 69] overpass     Rimas Engineering
  [ 70] overpass     Asfalti Zaccardi
  [ 71] overpass     Edilizia E Ambiente Srl
  [ 72] overpass     Tecnorettifica Senese
  [ 73] overpass     gaianova
  [ 74] overpass     Capgemini
  [ 75] overpass     Liboni
  [ 76] overpass     Elfa
  [ 77] overpass     Ing. Giampaolo Beretta
  [ 78] overpass     LORENZO FERRETTI GARSI
  [ 79] overpass     Ing. Domenico Simone
  [ 80] overpass     Zoppellari Gollini & Associati s.r.l.
  [ 81] overpass     Studio Helica
  [ 82] overpass     Studio Essepi
  [ 83] overpass     Mat.lab
  [ 84] overpass     Impresa Edile Salvatore Natale
  [ 85] overpass     Nuova PSC
  [ 86] overpass     RINA Consulting
  [ 87] overpass     Impresa Edile Lonardi
  [ 88] overpass     Dudu Edilizia
  [ 89] overpass     VR Costruzioni
  [ 90] overpass     Lupatini Claudia
  [ 91] overpass     Ordine degli Ingegneri della Provincia di Bari
  [ 92] overpass     Ingegnere Guglielmo Torti
  [ 93] overpass     Amadei Auro S.r.l.
  [ 94] overpass     Impresa Edile DR Costruzioni Ristrutturazioni e Re
  [ 95] overpass     ETERNOO - Eternedile
  [ 96] overpass     Studio di Ingegneria Isola Boasso
  [ 97] overpass     Ingegneria e Dintorni srl
  [ 98] overpass     Caren Engineering, Architecture and Building
  [ 99] overpass     ArteFerro
  [100] overpass     Ingegnere Roberto Vurchio
  [101] overpass     EdiliziAcrobatica
  [102] overpass     Bruni Ing. Bruno
  [103] overpass     Geometra Luigi Di Franco
  [104] overpass     GEOLOG STUDIO GEOLOGI ASSOCIATI
  [105] overpass     Saramin Franco
  [106] overpass     Mele Ing. Pietro Di Pietro Mele
  [107] overpass     F.V. Costruzioni
  [108] overpass     Ingegnere Massimo Viazzo
  [109] overpass     Solida
  [110] overpass     Delineo
  [111] overpass     Novotecnica
  [112] overpass     Tecno E.S.T.
  [113] overpass     Perito Industriale Donatella Monaco
  [114] overpass     VMF Costruzioni srl
  [115] overpass     Edilpan Di Panzarini Srl
  [116] overpass     Ricevimento Merci
  [117] overpass     Holzner & Bertagnolli
  [118] overpass     Marco Campoli
  [119] overpass     Ambiter s.r.l.
  [120] overpass     ISP Engineering S.r.l.
  [121] overpass     Cicero Costruzioni
  [122] overpass     Tonicello Antonio s.r.l.
  [123] overpass     Modimar Project s.r.l.
  [124] overpass     Studio Tecnico
  [125] overpass     Studio tecnico geom. Lorenzo Petrucci ing. Ileana 
  [126] overpass     Ristrutturazioni Chiavi in Mano
  [127] overpass     Studio Giordani
  [128] overpass     Studio Ingegneria Guidetti Serri
  [129] overpass     Alfa Solutions
  [130] overpass     Impresa Piazza Carlo
  [131] overpass     E-Agle Trento Racing Team
  [132] overpass     Omega Engineering
  [133] overpass     TTM Technology
  [134] overpass     Ingegneria 101
  [135] overpass     AP Srl Studio17
  [136] overpass     Costruzioni e impiantistica
  [137] overpass     Serra
  [138] overpass     Servizi Ambiente
  [139] overpass     Seingim Global Service Verona
  [140] overpass     Maffeis Engineering
  [141] overpass     Lagorai Engineering SRL Ing. Voltolini Stefano
  [142] overpass     Master Green Engineering
  [143] overpass     Ing. Voltolini Alessandro
  [144] overpass     Ing. Giorgio Righetti
  [145] overpass     STUDIO PROTECNO
  [146] overpass     COSTRUZIONI INNOVATIVE BGP SRL
  [147] overpass     Ambiente Sicuro
  [148] overpass     House Service Italy
  [149] overpass     Eta Progetti
  [150] overpass     I.E.C.I. engineering
  [151] overpass     Geopoint Monauni - Moser - Zöschg
  [152] overpass     Tecno cad service
  [153] overpass     Ditta Pisciotta
  [154] overpass     Zannoner
  [155] overpass     Lavori Edili Stradali
  [156] overpass     Ufficio: Ing. Pilan
  [157] overpass     Impresa edile di Aprile Fabrizio
  [158] overpass     Progetto Arredi SRL
  [159] overpass     BSV Società di Ingegneria S.r.l
  [160] overpass     Studio Tecnico di Ingegneria Baravelli
  [161] overpass     Leonardo Da. Vi. Meccanica
  [162] overpass     Studio Brugnera Livio
  [163] overpass     Raffaele Tomasi
  [164] overpass     ProIng S.r.l.
  [165] overpass     Studio Quality
  [166] overpass     Studio tecnico Greco
  [167] overpass     Impresa Edile Omar Group
  [168] overpass     Studio di Ingegneria - Ing. Massimo Bruciati Miett
  [169] overpass     Sime servizio tecnico
  [170] overpass     Ciemme Impianti
  [171] overpass     Movimento Terra Fregoli
  [172] overpass     Chiavaroli Costruzioni
  [173] overpass     Studio Tecnico Vedovelli
  [174] overpass     Ing. Carmine Leone
  [175] overpass     Studio Tecnico Pizzoferrato e D'Ambrosio
  [176] overpass     Costruzioni Edili Penta Group
  [177] overpass     Impresa Edile Angelo Mastropietro
  [178] overpass     Jacobs
  [179] overpass     Studio Tecnico Dott. Ing. Nardini Sabrina / Nardin
  [180] overpass     Engineering studio Boschet
  [181] overpass     Callisia Srl
  [182] overpass     ITS Engineering
  [183] overpass     Parth Franz
  [184] overpass     Cap Studio
  [185] overpass     Progetti
  [186] overpass     Porfilio Costruzioni
  [187] overpass     Studio Tecnico SIlvano Bortolami
  [188] overpass     Faggionato Romeo e Federico
  [189] overpass     Engiant
  [190] overpass     Edilfox
  [191] overpass     Edil scavi f.lli Lefons
  [192] overpass     GIVI Costruzioni impresa edile
  [193] overpass     A-Team
  [194] overpass     Sipra Engineering S.r.l.
  [195] overpass     4Box
  [196] overpass     Ing. Tamara Pizzamiglio
  [197] overpass     PMM
  [198] overpass     Cubi
  [199] overpass     Admina
  [200] overpass     AS ingegneria
  [201] overpass     Aura Impianti Elettrici
  [202] overpass     Studio tecnico Ing. Flavio Pastorelli
  [203] overpass     Studio tecnico Bertolino
  [204] overpass     Studio Corradi
  [205] overpass     CAD-Project
  [206] overpass     Grandi Progetti
  [207] overpass     Italferr S.p.a.
  [208] overpass     Impresa Desogus
  [209] overpass     Ing. Ugo Pellegrino
  [210] overpass     Studio di Ingegneria Francesco Politi ingegnere
  [211] overpass     ER ponteggi
  [212] overpass     D'Alicandro
  [213] overpass     De Dominicis Edilizia
  [214] overpass     Impresa Bergamelli
  [215] overpass     Sogresal

  Discovered 215 companies
  Finding LinkedIn URLs (this takes ~15 min)…
    – Annalisa Ferrarese                             
    – Ordine degli Ingegneri della Provincia di Tri  
    – Ing. Pini Giorgio                              
    – Ing. Alessio Sanavio                           
    – Studio Tecnico Ingegnere Fonte Salvatore       
    – ing. Daniele Agapito                           
    – Sako Petrit                                    
    – Christian Gallace                              
    – Bianchi e Imburgia                             
    – Studio Tecnico Topografico A.M. dei geom. Ard  
    – BONUS MULTISERVIZI SRL                         
    – Studio tecnico di ingegneria - Dott. Ing. Mic  
    – Giuseppe Lapadula                              
    – Ing. Sebastiano Chiarello                      
    – Gemas                                          
    – Luca Melegari                                  
    – Studio Ingegneria - Ing. Todaro                
    – Francesco De Gaetano                           
    – Manens                                         
    – Zini Elio                                      
    – Studio Tecnico Zeta                            
    – Ramundo Sicilf                                 
    – Edilizia Acrobatica                            
    – Studio Ingegnere Roggeri                       
    – RQuadro bioedilizia                            
    – Studio di progettazione Ing. Roberto Ciriolo   
    – Officina Veneta                                
    ✓ Peverelli & Co.                                
https://www.linkedin.com/company/peverelli/
    – Cnika                                          
    – Studio di Ingegneria Ing. Alessio Mulas        
    – Nuovo Rame                                     
    – Giuseppe Mirenda                               
    – Abitare S.R.L.                                 
    – ISOS.INGEGNERIA                                
    – Grisendi Costruzioni Srl                       
    – Ing. Beatrice Carnevale                        
    – Maria Virginia Fasano                          
    – Bion                                           
    – Trabis Costruzioni Srl                         
    – Studio progettazione integrata                 
    – DGStudio                                       
    – NEXT                                           
    – Ediltoscana di Geom. Luca Panichi              
    – Ing. Andrea Palumbo                            
    – Habitat Costruzioni                            
    ✓ EquiWatt                                       
https://www.linkedin.com/company/equiwatt/
    – La Mercurio                                    
    – SerTecPro                                      
    – Technisches Büro Roland Telfser                
    – Marco Lenzi                                    
    – Piacentini Ingegneri                           
    – d.crea                                         
    – Alta Costruzioni Srl.                          
    – Edil Damato                                    
    – Termoservice Matera SRL                        
    – Studio di Ingegneria - Dr. Ing. Sabato Schiav  
    – Libra Società di Ingegneria S.r.l.             
    – FGB Engineering                                
    – C.a S.P. Valle del Brasimone                   
    – Ingegner Pirlo srl                             
    – Studio Tecnico Giulietti                       
    – ThermoHouse                                    
    – Leadri                                         
    ✓ Bergmeister GmbH                               
https://www.linkedin.com/company/bergmeister/
    – Effebi Construzioni Srl                        
    – Bertuzzi Energy                                
    – Tramonte Andrea                                
    – Paolo Terrone                                  
    – Rimas Engineering                              
    – Asfalti Zaccardi                               
    – Edilizia E Ambiente Srl                        
    – Tecnorettifica Senese                          
    – gaianova                                       
    – Capgemini                                      
    – Liboni                                         
    – Elfa                                           
    – Ing. Giampaolo Beretta                         
    – LORENZO FERRETTI GARSI                         
    – Ing. Domenico Simone                           
    – Zoppellari Gollini & Associati s.r.l.          
    – Studio Helica                                  
    – Studio Essepi                                  
    – Mat.lab                                        
    – Impresa Edile Salvatore Natale                 
    – Nuova PSC                                      
    ✓ Impresa Edile Lonardi                          
https://www.linkedin.com/company/lonardi/
    – RINA Consulting                                
    – Dudu Edilizia                                  
    – VR Costruzioni                                 
    – Lupatini Claudia                               
    – Ordine degli Ingegneri della Provincia di Bar  
    – Ingegnere Guglielmo Torti                      
    – Amadei Auro S.r.l.                             
    – Impresa Edile DR Costruzioni Ristrutturazioni  
    – ETERNOO - Eternedile                           
    – Studio di Ingegneria Isola Boasso              
    – Ingegneria e Dintorni srl                      
    – Caren Engineering, Architecture and Building   
    – ArteFerro                                      
    – Ingegnere Roberto Vurchio                      
    – EdiliziAcrobatica                              
    – Bruni Ing. Bruno                               
    – Geometra Luigi Di Franco                       
    – GEOLOG STUDIO GEOLOGI ASSOCIATI                
    – Saramin Franco                                 
    – Mele Ing. Pietro Di Pietro Mele                
    – F.V. Costruzioni                               
    ✓ Solida                                         
https://www.linkedin.com/company/solida/
    – Ingegnere Massimo Viazzo                       
    – Delineo                                        
    – Novotecnica                                    
    – Tecno E.S.T.                                   
    – Perito Industriale Donatella Monaco            
    – VMF Costruzioni srl                            
    – Edilpan Di Panzarini Srl                       
    – Ricevimento Merci                              
    – Holzner & Bertagnolli                          
    – Marco Campoli                                  
    – Ambiter s.r.l.                                 
    – ISP Engineering S.r.l.                         
    – Cicero Costruzioni                             
    – Tonicello Antonio s.r.l.                       
    ✓ Modimar Project s.r.l.                         
https://www.linkedin.com/company/modpro/
    – Studio Tecnico                                 
    ✓ Ristrutturazioni Chiavi in Mano                
https://www.linkedin.com/company/ristrutturazioni-chiavi-in-mano/
    – Studio tecnico geom. Lorenzo Petrucci ing. Il  
    – Studio Giordani                                
    – Studio Ingegneria Guidetti Serri               
    – Alfa Solutions                                 
    – Impresa Piazza Carlo                           
    – E-Agle Trento Racing Team                      
    – Omega Engineering                              
    – TTM Technology                                 
    – Ingegneria 101                                 
    – AP Srl Studio17                                
    ✓ Serra                                          
https://www.linkedin.com/company/serra/
    – Costruzioni e impiantistica                    
    ✓ Seingim Global Service Verona                  
https://www.linkedin.com/company/seingim/
    – Servizi Ambiente                               
    – Maffeis Engineering                            
    – Lagorai Engineering SRL Ing. Voltolini Stefan  
    – Master Green Engineering                       
    – Ing. Voltolini Alessandro                      
    – Ing. Giorgio Righetti                          
    – STUDIO PROTECNO                                
    – COSTRUZIONI INNOVATIVE BGP SRL                 
    – Ambiente Sicuro                                
    – House Service Italy                            
    – Eta Progetti                                   
    – I.E.C.I. engineering                           
    – Geopoint Monauni - Moser - Zöschg              
    – Tecno cad service                              
    – Ditta Pisciotta                                
    – Zannoner                                       
    – Lavori Edili Stradali                          
    – Ufficio: Ing. Pilan                            
    ✓ Progetto Arredi SRL                            
https://www.linkedin.com/company/progetto-arredi/
    – Impresa edile di Aprile Fabrizio               
    – BSV Società di Ingegneria S.r.l                
    – Studio Tecnico di Ingegneria Baravelli         
    – Leonardo Da. Vi. Meccanica                     
    – Studio Brugnera Livio                          
    – Raffaele Tomasi                                
    – ProIng S.r.l.                                  
    – Studio Quality                                 
    – Studio tecnico Greco                           
    – Impresa Edile Omar Group                       
    – Studio di Ingegneria - Ing. Massimo Bruciati   
    – Sime servizio tecnico                          
    – Ciemme Impianti                                
    – Movimento Terra Fregoli                        
    – Chiavaroli Costruzioni                         
    – Studio Tecnico Vedovelli                       
    – Ing. Carmine Leone                             
    – Studio Tecnico Pizzoferrato e D'Ambrosio       
    – Costruzioni Edili Penta Group                  
    – Impresa Edile Angelo Mastropietro              
    – Jacobs                                         
    – Studio Tecnico Dott. Ing. Nardini Sabrina / N  
    ✓ Callisia Srl                                   
https://www.linkedin.com/company/callisia/
    – Engineering studio Boschet                     
    – ITS Engineering                                
    – Parth Franz                                    
    – Cap Studio                                     
    – Progetti                                       
    – Porfilio Costruzioni                           
    – Studio Tecnico SIlvano Bortolami               
    – Faggionato Romeo e Federico                    
    – Engiant                                        
    – Edilfox                                        
    – Edil scavi f.lli Lefons                        
    – GIVI Costruzioni impresa edile                 
    – A-Team                                         
    – Sipra Engineering S.r.l.                       
    – 4Box                                           
    – Ing. Tamara Pizzamiglio                        
    ✓ Cubi                                           
https://www.linkedin.com/company/cubi/
    – PMM                                            
    – Admina                                         
    – AS ingegneria                                  
    – Aura Impianti Elettrici                        
    – Studio tecnico Ing. Flavio Pastorelli          
    – Studio tecnico Bertolino                       
    – Studio Corradi                                 
    – CAD-Project                                    
    – Grandi Progetti                                
    – Italferr S.p.a.                                
    – Impresa Desogus                                
    – Ing. Ugo Pellegrino                            
    – Studio di Ingegneria Francesco Politi ingegne  
    – ER ponteggi                                    
    – D'Alicandro                                    
    – De Dominicis Edilizia                          
    – Impresa Bergamelli                             
    – Sogresal                                       

  LinkedIn found: 12/215
  Saved 215 new leads to DB
  CSV → leads_export\leads_IT_Construction.csv  (215 rows)

────────────────────────────── PL / Construction ──────────────────────────────
  [  1] overpass     Dźwigar
  [  2] overpass     Korporacja Budowlana Budmax
  [  3] overpass     Remonty Szczecin
  [  4] overpass     JanDach: budowa i sprzedaż domów, usługi ogólnobud
  [  5] overpass     Comtec3D
  [  6] overpass     Convel
  [  7] overpass     Green Light
  [  8] overpass     Geotech
  [  9] overpass     GSBK Biuro Konstrukcyjne
  [ 10] overpass     BUD-FRYZ
  [ 11] overpass     Robotech Studio Projektów
  [ 12] overpass     Budoteka
  [ 13] overpass     Ooptyk
  [ 14] overpass     Centrum Zana
  [ 15] overpass     GDL Developer
  [ 16] overpass     Sigma Budownictwo
  [ 17] overpass     Sufity napinane Warszawa DEKO - DPS
  [ 18] overpass     Rensolid
  [ 19] overpass     AGMak
  [ 20] overpass     Unibruk
  [ 21] overpass     EBZ Design Engineering
  [ 22] overpass     Hunger-Bud
  [ 23] overpass     artbudinż
  [ 24] overpass     Remontuj z głową - usługi remontowo - budowlane
  [ 25] overpass     ProPoint Services Sp. z o.o.
  [ 26] overpass     Techplus Polska
  [ 27] overpass     MIKON
  [ 28] overpass     San Pro
  [ 29] overpass     BL Projekt Biuro Projektów
  [ 30] overpass     Climatic
  [ 31] overpass     Thermofasada - Okna, Drzwi, Tarasy - Poznań
  [ 32] overpass     Siódme Niebo
  [ 33] overpass     Instalator
  [ 34] overpass     Dział Techniczno-Eksploatacyjny Spółdzielni Mieszk
  [ 35] overpass     Stępiński
  [ 36] overpass     MajorBud
  [ 37] overpass     Edag
  [ 38] overpass     Sitech
  [ 39] overpass     Sweco
  [ 40] overpass     GeoSpectrum
  [ 41] overpass     Sedenum
  [ 42] overpass     Vistal Gdynia S.A.
  [ 43] overpass     SYSTRA
  [ 44] overpass     POLAQUA
  [ 45] overpass     UGOS
  [ 46] overpass     Inżynier Arkadiusz Jaczun
  [ 47] overpass     AW-DOM
  [ 48] overpass     Grupa Wyburzeniowa Południe
  [ 49] overpass     Meblodom Plus
  [ 50] overpass     NSO PORR
  [ 51] overpass     Ayesa Polska Sp. z o.o.
  [ 52] overpass     TB-Tech
  [ 53] overpass     EPC Projekt
  [ 54] overpass     Algo Polska
  [ 55] overpass     ZDI
  [ 56] overpass     Power Source
  [ 57] overpass     Echo-Test Team
  [ 58] overpass     Teldream
  [ 59] overpass     Smolnik Michał
  [ 60] overpass     R.A.W. BUD
  [ 61] overpass     Gascontrol Polska Sp. z o.o.
  [ 62] overpass     TÜV SÜD Polska Sp. z o.o.
  [ 63] overpass     Budownictwo Plus
  [ 64] overpass     KM Project
  [ 65] overpass     Anhi Tech
  [ 66] overpass     Pracownia Konstrukcyjna Narzędzi Roman Ziemba
  [ 67] overpass     AutomaticBlue
  [ 68] overpass     Arthur-Rem-Burzyński
  [ 69] overpass     Instal-Bud Sanok
  [ 70] overpass     BUD-KRIS
  [ 71] overpass     MarineTeknik
  [ 72] overpass     Marlo
  [ 73] overpass     Fox Ogrodzenia
  [ 74] overpass     Damen Engineering Gdańsk Sp. z o.o.
  [ 75] overpass     IN-PRO Sp. z o.o.
  [ 76] overpass     PM Group
  [ 77] overpass     biuro budowy KAMARO
  [ 78] overpass     Pro-Kamro - Druk 3D, SCHE
  [ 79] overpass     Pro-Kamro - SCHE, Druk 3d
  [ 80] overpass     Taksi
  [ 81] overpass     PRO-KAMRO - Druk 3D, Projektowanie CAD, SCHE
  [ 82] overpass     Quaspe
  [ 83] overpass     Dachlux - Kumor
  [ 84] overpass     AMAT
  [ 85] overpass     Strabag
  [ 86] overpass     VACAT
  [ 87] overpass     image
  [ 88] overpass     Hydro-Labor
  [ 89] overpass     WPUB Eko
  [ 90] overpass     USŁUGI BHP I PPOŻ
  [ 91] overpass     iQANTO-FiRAC Agencja Ostrów Wielkopolski
  [ 92] overpass     Przedsiębiorstwo Robót Drogowo-Mostowych S.A.
  [ 93] overpass     Warszawskie Przedsiębiorstwo Mostowe Mosty Sp. z o
  [ 94] overpass     P.H.U. Wittchen
  [ 95] overpass     Ciepłownik EkoInwestycje
  [ 96] overpass     Drawex

  Discovered 96 companies
  Finding LinkedIn URLs (this takes ~7 min)…
    ✓ Korporacja Budowlana Budmax                    
https://www.linkedin.com/company/budmax/
    – Dźwigar                                        
    – Remonty Szczecin                               
    – JanDach: budowa i sprzedaż domów, usługi ogól  
    – Comtec3D                                       
    – Convel                                         
    – Green Light                                    
    – Geotech                                        
    – GSBK Biuro Konstrukcyjne                       
    – BUD-FRYZ                                       
    – Robotech Studio Projektów                      
    – Budoteka                                       
    – Ooptyk                                         
    – Centrum Zana                                   
    – GDL Developer                                  
    – Sigma Budownictwo                              
    – Sufity napinane Warszawa DEKO - DPS            
    – Rensolid                                       
    – AGMak                                          
    – Unibruk                                        
    – EBZ Design Engineering                         
    – Hunger-Bud                                     
    – artbudinż                                      
    – Remontuj z głową - usługi remontowo - budowla  
    ✓ Techplus Polska                                
https://www.linkedin.com/company/techplus/
    – ProPoint Services Sp. z o.o.                   
    – MIKON                                          
    – San Pro                                        
    – BL Projekt Biuro Projektów                     
    – Climatic                                       
    – Thermofasada - Okna, Drzwi, Tarasy - Poznań    
    – Siódme Niebo                                   
    – Instalator                                     
    – Dział Techniczno-Eksploatacyjny Spółdzielni M  
    – Stępiński                                      
    – MajorBud                                       
    ✓ Sitech                                         
https://www.linkedin.com/company/sitech/
    – Edag                                           
    – Sweco                                          
    – GeoSpectrum                                    
    – Sedenum                                        
    – Vistal Gdynia S.A.                             
    ✓ POLAQUA                                        
https://www.linkedin.com/company/polaqua/
    – SYSTRA                                         
    – UGOS                                           
    – Inżynier Arkadiusz Jaczun                      
    – AW-DOM                                         
    – Grupa Wyburzeniowa Południe                    
    – Meblodom Plus                                  
    – NSO PORR                                       
    – Ayesa Polska Sp. z o.o.                        
    – TB-Tech                                        
    – EPC Projekt                                    
    – Algo Polska                                    
    – ZDI                                            
    – Power Source                                   
    – Echo-Test Team                                 
    – Teldream                                       
    – Smolnik Michał                                 
    – R.A.W. BUD                                     
    – Gascontrol Polska Sp. z o.o.                   
    – TÜV SÜD Polska Sp. z o.o.                      
    – Budownictwo Plus                               
    – KM Project                                     
    – Anhi Tech                                      
    – Pracownia Konstrukcyjna Narzędzi Roman Ziemba  
    – AutomaticBlue                                  
    – Arthur-Rem-Burzyński                           
    – Instal-Bud Sanok                               
    – BUD-KRIS                                       
    – MarineTeknik                                   
    – Marlo                                          
    – Fox Ogrodzenia                                 
    – IN-PRO Sp. z o.o.                              
    – Damen Engineering Gdańsk Sp. z o.o.            
    – PM Group                                       
    – biuro budowy KAMARO                            
    – Pro-Kamro - Druk 3D, SCHE                      
    ✓ Taksi                                          
https://www.linkedin.com/company/taksi/
    – Pro-Kamro - SCHE, Druk 3d                      
    ✓ Quaspe                                         
https://www.linkedin.com/company/quaspe/
    – PRO-KAMRO - Druk 3D, Projektowanie CAD, SCHE   
    – Dachlux - Kumor                                
    ✓ Strabag                                        
https://www.linkedin.com/company/strabag/
    – AMAT                                           
    – VACAT                                          
    – image                                          
    – Hydro-Labor                                    
    – WPUB Eko                                       
    – USŁUGI BHP I PPOŻ                              
    – iQANTO-FiRAC Agencja Ostrów Wielkopolski       
    – Przedsiębiorstwo Robót Drogowo-Mostowych S.A.  
    – Warszawskie Przedsiębiorstwo Mostowe Mosty Sp  
    – P.H.U. Wittchen                                
    – Ciepłownik EkoInwestycje                       
    – Drawex                                         

  LinkedIn found: 7/96
  Saved 66 new leads to DB
  CSV → leads_export\leads_PL_Construction.csv  (96 rows)

────────────────────────────── NL / Real Estate ───────────────────────────────
  [  1] overpass     Vlieg
  [  2] overpass     Dupree Makelaar
  [  3] overpass     Makelaardij van den Berg
  [  4] overpass     Peter Deen
  [  5] overpass     Michiel van Maanen
  [  6] overpass     Mooijekind Vleut Makelaars Haarlem
  [  7] overpass     Oosting
  [  8] overpass     Hup en Fidom
  [  9] overpass     Van't Hof Rijnland
  [ 10] overpass     Gerro de Boer Makelaardij & Taxaties B.V.
  [ 11] overpass     Makelaardij Sneek
  [ 12] overpass     Van Pas Makelaars
  [ 13] overpass     Appel & Fris Makelaars
  [ 14] overpass     Van Regteren
  [ 15] overpass     LAM Makelaars
  [ 16] overpass     Noordstad Groep
  [ 17] overpass     Post Makelaardij
  [ 18] overpass     Van Scherpenzeel
  [ 19] overpass     Randmeer Makelaars
  [ 20] overpass     Makelaar Van Ek Garantiemakelaars BV
  [ 21] overpass     Makelaardij aefect
  [ 22] overpass     Zuurbier Makelaardij
  [ 23] overpass     De Hypotheekshop
  [ 24] overpass     Reinerie
  [ 25] overpass     At Home in Utrecht
  [ 26] overpass     van Leeuwen Makelaardij
  [ 27] overpass     John Driessens Makelaardij
  [ 28] overpass     Succesmakkelaars
  [ 29] overpass     Noordam
  [ 30] overpass     Melior
  [ 31] overpass     Fris Wonen
  [ 32] overpass     Tel Krop Makelaars
  [ 33] overpass     Bronsvoord
  [ 34] overpass     A7 makelaars
  [ 35] overpass     Makelaardij Hoekstra
  [ 36] overpass     Peelrand Makelaardij
  [ 37] overpass     JIP makelaars
  [ 38] overpass     Heren van Snoek
  [ 39] overpass     Hettema Adema
  [ 40] overpass     Jonkers Vastgoed
  [ 41] overpass     Admono Makelaars
  [ 42] overpass     Maxx Vastgoed
  [ 43] overpass     Uw VBO Makelaar
  [ 44] overpass     Van Riezen
  [ 45] overpass     Huis van Verhuur
  [ 46] overpass     Ten Brinke
  [ 47] overpass     Van Wonen
  [ 48] overpass     Deltawonen woningstichting
  [ 49] overpass     Van Amerom Makelaardij
  [ 50] overpass     Muller
  [ 51] overpass     Woonfabriek
  [ 52] overpass     Margadant
  [ 53] overpass     Lenferink Groep
  [ 54] overpass     Boekenrode
  [ 55] overpass     Edwin van Vilsteren makelaardij
  [ 56] overpass     De Graaf van Vilsteren
  [ 57] overpass     Bij Barbel
  [ 58] overpass     Ten Hag Makelaars
  [ 59] overpass     Van der Hoek Makelaardij
  [ 60] overpass     Van Der Linden Makelaardij
  [ 61] overpass     Boertjes Horst
  [ 62] overpass     Posthuis
  [ 63] overpass     Veltkamp & Stam Admono Makelaars
  [ 64] overpass     Salland Makelaardij
  [ 65] overpass     Makelaardij Bosch
  [ 66] overpass     Hypotheekadvies Wolvega
  [ 67] overpass     De Woudenhof
  [ 68] overpass     Isaak Makelaardij
  [ 69] overpass     Ooms
  [ 70] overpass     Dekkers de Groot
  [ 71] overpass     Wolters Housing
  [ 72] overpass     Reichman & Rommelaar
  [ 73] overpass     Estatum
  [ 74] overpass     De Hypotheekshop / Van Dullink
  [ 75] overpass     van Dullink
  [ 76] overpass     Immobilia
  [ 77] overpass     Fundament
  [ 78] overpass     3B Makelaardij
  [ 79] overpass     Makelaardij Mouthaan
  [ 80] overpass     Programmabureau Rijswijk Buiten
  [ 81] overpass     Morris
  [ 82] overpass     Van Gulden Makelaardij
  [ 83] overpass     Van Leerdam
  [ 84] overpass     Van Daal makelaardij
  [ 85] overpass     Roepman Makelaardij
  [ 86] overpass     Oviron
  [ 87] overpass     Lammers
  [ 88] overpass     Holland Huis
  [ 89] overpass     Rebel
  [ 90] overpass     Business Connect
  [ 91] overpass     Schieland Borsboom
  [ 92] overpass     Van Brero & Breugem
  [ 93] overpass     Van 't Hof
  [ 94] overpass     Verlaan
  [ 95] overpass     De Drie Kastelen
  [ 96] overpass     Van As Makelaardij
  [ 97] overpass     Nivita Makelaars O. G.
  [ 98] overpass     Dennis de Makelaar
  [ 99] overpass     Uw Makelaar
  [100] overpass     Briq
  [101] overpass     Makelaar-Taxateur Marcel Leferink
  [102] overpass     Dirk van der Houwen Makelaardij
  [103] overpass     Wildeboer Hypotheken
  [104] overpass     Ruseler makelaars
  [105] overpass     Portaal
  [106] overpass     Koning Aankoopmakelaars
  [107] overpass     Dijksman & Partners
  [108] overpass     Iets Anders Makelaars
  [109] overpass     Bonthuijs Vaartjes
  [110] overpass     Herman van As
  [111] overpass     Nijland Makelaars
  [112] overpass     Ditters
  [113] overpass     Margitte Schoof
  [114] overpass     Telman & Van Leeuwen Makelaars
  [115] overpass     De Bos makelaardij o.g. B.V.
  [116] overpass     VIJF Makelaars
  [117] overpass     Grifhorst
  [118] overpass     Paul Dijkstra
  [119] overpass     Ons Hoes
  [120] overpass     Kempers Makelaardij
  [121] overpass     Thoma van Dijk Siebelink Makelaars
  [122] overpass     SWD
  [123] overpass     Paul Thijssen
  [124] overpass     Makelaardij Utrecht
  [125] overpass     Start Housing
  [126] overpass     Rotsvast
  [127] overpass     Makelaardij Wonen in Utrecht
  [128] overpass     De Keizer
  [129] overpass     Pomme & Partners B.V.
  [130] overpass     Ludenhoff Makelaars
  [131] overpass     Kiers Vastgoed Etalage
  [132] overpass     Amerstad makelaar
  [133] overpass     Wonen Boven Winkels Deventer
  [134] overpass     Hunink & Holtrigter
  [135] overpass     Drenth Makelaars
  [136] overpass     NederWoon Verhuurmakelaars
  [137] overpass     MVGM
  [138] overpass     Namaco
  [139] overpass     Nederwoon
  [140] overpass     Huis en Zekerheid Makelaardij
  [141] overpass     Govaert
  [142] overpass     Koningsstede
  [143] overpass     Van Vliet Makelaardij O.G.
  [144] overpass     Tijmen Kroes
  [145] overpass     Mennink Makelaars
